epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
135,5006.22,1.15135,0.7796,1.17736,0.88057,0.76198,0.83829,0.567,1.34255,0.92062,1.26948,0.0073468,0.0073468,0.0073468
136,5132.54,1.14267,0.77056,1.17085,0.8797,0.76381,0.83923,0.56658,1.34377,0.92099,1.26992,0.007327,0.007327,0.007327
137,5259.67,1.14751,0.77858,1.17017,0.87657,0.76323,0.8372,0.56709,1.34469,0.92143,1.27007,0.0073072,0.0073072,0.0073072
138,5396.44,1.14067,0.77369,1.17034,0.87979,0.76296,0.83699,0.56632,1.3457,0.92089,1.27126,0.0072874,0.0072874,0.0072874
139,5525.68,1.13109,0.76879,1.16107,0.88047,0.76252,0.83762,0.56566,1.34538,0.92156,1.27003,0.0072676,0.0072676,0.0072676
140,5655.53,1.13999,0.77024,1.168,0.87862,0.76185,0.83738,0.56531,1.34652,0.92172,1.27053,0.0072478,0.0072478,0.0072478
141,5787.43,1.13744,0.76664,1.16208,0.88001,0.76321,0.83736,0.56536,1.34699,0.92066,1.27027,0.007228,0.007228,0.007228
142,5920.47,1.12742,0.76006,1.16083,0.8767,0.76044,0.83535,0.56432,1.34705,0.91945,1.27026,0.0072082,0.0072082,0.0072082
143,6055.38,1.14513,0.77125,1.16867,0.87825,0.75863,0.83497,0.56446,1.3472,0.91806,1.27099,0.0071884,0.0071884,0.0071884
144,6188.65,1.12537,0.75831,1.1595,0.87767,0.75907,0.8345,0.56421,1.34826,0.91821,1.27146,0.0071686,0.0071686,0.0071686
145,6322.27,1.13019,0.75477,1.15977,0.87816,0.75851,0.83309,0.56315,1.34949,0.91652,1.27212,0.0071488,0.0071488,0.0071488
146,6456,1.127,0.75806,1.16064,0.87915,0.75901,0.83418,0.56413,1.34912,0.91565,1.27142,0.007129,0.007129,0.007129
147,6588.45,1.1217,0.75254,1.15506,0.87645,0.75788,0.83284,0.56381,1.3488,0.91451,1.27121,0.0071092,0.0071092,0.0071092
148,6725.13,1.12996,0.76696,1.16291,0.8755,0.75723,0.83223,0.56366,1.34875,0.91471,1.27118,0.0070894,0.0070894,0.0070894
149,6860.78,1.12758,0.76268,1.1612,0.8735,0.75726,0.83223,0.56358,1.34828,0.91394,1.27126,0.0070696,0.0070696,0.0070696
150,6995.88,1.11326,0.74078,1.15139,0.87711,0.75779,0.83343,0.56454,1.34667,0.91303,1.27026,0.0070498,0.0070498,0.0070498
151,7134.42,1.12221,0.75187,1.15573,0.8755,0.75729,0.83317,0.56501,1.34585,0.91179,1.26889,0.00703,0.00703,0.00703
152,7269.59,1.12391,0.74548,1.16078,0.87724,0.75864,0.83378,0.56545,1.3449,0.91173,1.26733,0.0070102,0.0070102,0.0070102
153,7399.72,1.11865,0.74859,1.15459,0.87585,0.75945,0.83397,0.56585,1.34371,0.90984,1.26759,0.0069904,0.0069904,0.0069904
154,7529.06,1.1218,0.74017,1.15622,0.8775,0.75982,0.83471,0.56566,1.34404,0.9088,1.2674,0.0069706,0.0069706,0.0069706
155,7660.72,1.11723,0.73919,1.15388,0.87621,0.761,0.83559,0.56522,1.3449,0.90759,1.2683,0.0069508,0.0069508,0.0069508
156,7790.45,1.11587,0.75038,1.15487,0.87642,0.75982,0.83421,0.56522,1.34563,0.90799,1.26872,0.006931,0.006931,0.006931
157,7922.52,1.10846,0.73922,1.14989,0.87705,0.75982,0.8343,0.56404,1.34739,0.90643,1.26988,0.0069112,0.0069112,0.0069112
158,8054.42,1.1184,0.7453,1.15306,0.87453,0.76038,0.83405,0.5645,1.34787,0.90595,1.27087,0.0068914,0.0068914,0.0068914
159,8187.09,1.11656,0.73884,1.15147,0.87466,0.76094,0.83416,0.56506,1.34986,0.90577,1.27398,0.0068716,0.0068716,0.0068716
160,8319.15,1.10652,0.7291,1.14385,0.87418,0.76094,0.83404,0.56441,1.3487,0.90566,1.2725,0.0068518,0.0068518,0.0068518
161,8452.78,1.10113,0.73706,1.14634,0.87453,0.76094,0.834,0.56548,1.3494,0.90452,1.2727,0.006832,0.006832,0.006832
162,8589.55,1.1031,0.72732,1.14526,0.87808,0.76094,0.83444,0.56498,1.35055,0.90376,1.27452,0.0068122,0.0068122,0.0068122
163,8725.26,1.1047,0.72883,1.14676,0.87822,0.76029,0.83349,0.56497,1.35153,0.9039,1.27458,0.0067924,0.0067924,0.0067924
164,8859.47,1.10601,0.72777,1.1501,0.88038,0.75958,0.83412,0.56635,1.35099,0.90498,1.27437,0.0067726,0.0067726,0.0067726
165,8996.98,1.10307,0.73034,1.14381,0.87821,0.75876,0.83404,0.5664,1.35098,0.90505,1.27428,0.0067528,0.0067528,0.0067528
166,9131.37,1.09403,0.72165,1.1358,0.88012,0.75815,0.83461,0.56517,1.35151,0.9063,1.27455,0.006733,0.006733,0.006733
167,9263.29,1.09416,0.72734,1.13733,0.87896,0.75687,0.83366,0.5653,1.35214,0.906,1.27515,0.0067132,0.0067132,0.0067132
168,9396.67,1.09308,0.72449,1.1381,0.87744,0.75676,0.8336,0.56444,1.35222,0.90649,1.27552,0.0066934,0.0066934,0.0066934
169,9530.88,1.09287,0.72714,1.1353,0.87891,0.75661,0.83343,0.56503,1.35225,0.90476,1.27518,0.0066736,0.0066736,0.0066736
170,9665.02,1.10317,0.73117,1.14388,0.87757,0.75747,0.83441,0.56492,1.353,0.90489,1.27545,0.0066538,0.0066538,0.0066538
171,9798.93,1.09749,0.72403,1.13748,0.87559,0.7576,0.83434,0.56518,1.35144,0.90497,1.27395,0.006634,0.006634,0.006634
172,9930.58,1.09236,0.71863,1.1418,0.87522,0.75564,0.83385,0.56504,1.35226,0.90439,1.27504,0.0066142,0.0066142,0.0066142
173,10062.5,1.08777,0.71697,1.13565,0.87437,0.75585,0.83392,0.56601,1.35188,0.90288,1.27438,0.0065944,0.0065944,0.0065944
174,10196.2,1.09283,0.71753,1.13649,0.87613,0.7603,0.83478,0.56623,1.35278,0.90172,1.27499,0.0065746,0.0065746,0.0065746
175,10329.2,1.09224,0.72072,1.13867,0.87734,0.76018,0.83494,0.56586,1.35303,0.9004,1.27555,0.0065548,0.0065548,0.0065548
176,10464.4,1.08928,0.71621,1.13453,0.87708,0.75837,0.83483,0.5666,1.35256,0.89939,1.27522,0.006535,0.006535,0.006535
177,10599.7,1.08836,0.71227,1.13405,0.87801,0.7595,0.83544,0.567,1.35224,0.89825,1.27438,0.0065152,0.0065152,0.0065152
178,10735.6,1.08482,0.70833,1.13437,0.87824,0.75762,0.8348,0.56641,1.3508,0.89788,1.27245,0.0064954,0.0064954,0.0064954
179,10872.1,1.09577,0.72079,1.13816,0.87981,0.75637,0.835,0.56768,1.35074,0.89648,1.27216,0.0064756,0.0064756,0.0064756
180,11006.7,1.0873,0.70782,1.13445,0.88131,0.75755,0.83484,0.5672,1.35046,0.8952,1.27263,0.0064558,0.0064558,0.0064558
